 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.14574857E-08   1678.2193885   1678.2193885       346
  0.14667360E-08   1684.6207107   1684.6207107       347
  0.14679380E-08   1690.8562288   1690.8562288       348
  0.14718155E-08   1696.7152610   1696.7152610       349
  0.14725945E-08   1702.9909772   1702.9909772       350
  0.14747455E-08   1709.2087254   1709.2087254       351
  0.14780713E-08   1721.4823204   1721.4823204       352
  0.14802147E-08   1709.2086269   1709.2086269       353
  0.14803312E-08   1715.3597199   1715.3597199       354
  0.14825692E-08   1721.8019845   1721.8019845       355
  0.14885344E-08   1740.1052153   1740.1052153       356
  0.14915373E-08   1746.0167141   1746.0167141       357
  0.14943271E-08   1746.2984488   1746.2984488       358
  0.14981340E-08   1752.6054880   1752.6054880       359
  0.15007547E-08   1752.5667140   1752.5667140       360
  0.15237981E-08   1759.0100357   1759.0100357       361
  0.15251000E-08   1771.2368697   1771.2368697       362
  0.15275101E-08   1770.9325138   1770.9325138       363
  0.15337976E-08   1764.9106585   1764.9106585       364
  0.15398161E-08   1771.0940409   1771.0940409       365
  0.15452899E-08   1777.1577252   1777.1577252       366
  0.15511806E-08   1777.2562120   1777.2562120       367
  0.15523755E-08   1783.6001414   1783.6001414       368
  0.15561596E-08   1789.6207004   1789.6207004       369
  0.15584603E-08   1789.5962847   1789.5962847       370
  0.15642358E-08   1795.9775276   1795.9775276       371
  0.15653988E-08   1795.7209171   1795.7209171       372
  0.15686562E-08   1795.9776386   1795.9776386       373
  0.15706126E-08   1808.4054446   1808.4054446       374
  0.15737193E-08   1814.6908783   1814.6908783       375
  0.15750109E-08   1820.6668661   1820.6668661       376
  0.15784632E-08   1826.8884847   1826.8884847       377
  0.15784748E-08   1832.9012285   1832.9012285       378
  0.15808596E-08   1839.0978282   1839.0978282       379
  0.15866615E-08   1845.5288893   1845.5288893       380
  0.15939028E-08   1851.7216362   1851.7216362       381
  0.15944231E-08   1858.2386791   1858.2386791       382
  0.15962470E-08   1870.3264648   1870.3264648       383
  0.15996495E-08   1876.6769783   1876.6769783       384
  0.16035653E-08   1882.7461307   1882.7461307       385
  0.16056823E-08   1900.9389963   1900.9389963       386
  0.16072631E-08   1907.5146663   1907.5146663       387
  0.16109457E-08   1913.6359960   1913.6359960       388
  0.16123074E-08   1919.8079586   1919.8079586       389
  0.16138531E-08   1926.0524835   1926.0524835       390
  0.16179529E-08   1932.5739673   1932.5739673       391
  0.16191782E-08   1938.7232785   1938.7232785       392
  0.16290015E-08   1938.3218296   1938.3218296       393
  0.16377121E-08   1957.0161750   1957.0161750       394
  0.16415662E-08   1963.3535078   1963.3535078       395
  0.16429818E-08   1969.9442245   1969.9442245       396
  0.16461293E-08   1976.3027810   1976.3027810       397
  0.16600888E-08   1982.2800098   1982.2800098       398
  0.16630174E-08   1988.5246992   1988.5246992       399
  0.16645002E-08   1994.6679161   1994.6679161       400
  0.16707415E-08   1994.6324142   1994.6324142       401
  0.16752686E-08   2000.6294049   2000.6294049       402
  0.16759465E-08   2006.7036864   2006.7036864       403
  0.16793653E-08   2000.6294071   2000.6294071       404
  0.16825419E-08   2007.0001838   2007.0001838       405
  0.16836092E-08   2012.9013770   2012.9013770       406
  0.16846236E-08   2031.7154697   2031.7154697       407
  0.16846526E-08   2043.8628865   2043.8628865       408
  0.16960164E-08   2037.4787786   2037.4787786       409
